,cleave,0,1,2,3,4,5,6,7
109,-1,17,9,3,15,2,9,13,18
110,-1,3,18,14,1,18,2,16,14
111,-1,15,4,17,6,16,16,9,20
112,-1,8,17,3,2,15,4,17,6
113,-1,14,1,18,2,16,14,9,12
114,-1,10,3,12,20,15,6,20,16
115,-1,6,15,17,13,6,16,15,12
116,-1,2,12,3,6,15,17,13,6
117,-1,16,1,1,16,16,16,12,20
118,-1,16,9,20,13,12,2,1,20
119,-1,10,2,12,8,13,2,16,1
120,-1,20,2,12,14,11,11,9,16
121,-1,18,14,1,19,8,15,6,2
122,-1,18,12,17,5,18,7,4,16
123,-1,17,11,16,8,17,3,2,15
124,-1,8,13,2,16,1,10,10,16
125,-1,12,18,1,2,9,12,6,14
126,-1,16,3,6,12,6,11,12,1
127,-1,3,18,14,1,19,8,15,6
128,-1,9,17,17,14,1,12,9,7
129,-1,14,7,11,3,16,16,17,16
130,-1,6,16,17,3,20,6,8,10
131,-1,17,1,1,1,9,5,4,15
132,-1,16,1,10,10,16,16,3,8
133,-1,11,12,1,19,18,1,19,15
134,-1,17,16,1,1,16,16,16,12
135,-1,9,20,13,12,2,1,20,9
136,-1,15,19,19,2,12,3,6,15
137,-1,12,17,5,18,7,4,16,10
138,-1,18,2,1,1,9,5,4,16
139,-1,5,18,7,4,16,10,1,3
140,-1,14,16,20,16,17,11,16,8
141,-1,12,10,17,9,3,15,2,9
142,-1,2,9,12,6,14,17,12,2
143,-1,12,1,19,18,1,19,15,12
144,-1,12,20,15,6,20,16,10,6
145,-1,16,15,12,10,2,12,8,13
146,-1,14,1,19,8,15,6,2,15
147,-1,11,11,9,16,15,12,10,17
148,-1,17,12,15,12,17,3,6,16
149,-1,5,4,15,14,7,11,3,16
150,-1,15,12,10,2,12,8,13,2
151,-1,18,2,16,14,9,12,18,1
152,-1,1,1,1,11,9,15,7,6
153,-1,18,14,1,18,2,16,14,9
154,-1,9,13,18,12,17,5,18,7
155,-1,10,6,12,19,18,2,1,1
156,-1,15,7,6,10,3,12,20,15
157,-1,15,6,20,16,10,6,12,19
158,-1,9,12,18,1,2,9,12,6
159,-1,12,13,20,18,13,18,7,5
160,-1,6,20,16,10,6,12,19,18
161,-1,9,4,17,1,1,1,9,5
162,-1,17,6,16,16,9,20,13,12
163,-1,3,15,2,9,13,18,12,17
164,-1,1,2,9,12,6,14,17,12
165,-1,10,10,16,16,3,8,17,1
166,-1,3,20,6,8,10,14,8,12
167,-1,9,6,17,3,18,14,1,19
168,-1,3,6,15,17,13,6,16,15
169,-1,8,18,1,2,4,6,12,13
170,-1,1,2,4,6,12,13,20,18
171,-1,3,12,20,15,6,20,16,10
172,-1,7,8,8,18,1,2,4,6
173,-1,10,1,3,18,14,1,18,2
174,-1,12,17,14,1,17,12,15,12
175,-1,14,9,12,18,1,2,9,12
176,-1,15,2,9,13,18,12,17,5
177,-1,3,2,15,4,17,6,16,16
178,-1,18,16,3,6,12,6,11,12
179,-1,10,14,8,12,16,15,19,19
180,-1,1,11,9,15,7,6,10,3
181,-1,14,11,11,9,16,15,12,10
182,-1,13,18,12,17,5,18,7,4
183,-1,9,16,15,12,10,17,9,3
184,-1,12,2,20,14,16,20,16,17
185,-1,12,9,7,8,8,18,1,2
186,-1,1,1,16,16,16,12,20,2
187,-1,16,17,11,16,8,17,3,2
188,-1,16,16,9,20,13,12,2,1
189,-1,12,14,11,11,9,16,15,12
190,-1,6,11,12,1,19,18,1,19
191,-1,1,17,12,15,12,17,3,6
192,-1,17,1,16,18,12,2,1,9
193,-1,1,1,1,9,5,4,15,14
194,-1,5,12,17,14,1,17,12,15
195,-1,19,15,12,15,2,9,6,17
196,-1,1,9,5,4,16,12,5,12
197,-1,20,14,16,20,16,17,11,16
198,-1,4,16,12,5,12,17,14,1
199,-1,2,16,1,10,10,16,16,3
200,-1,14,8,12,16,15,19,19,2
201,-1,12,20,2,12,14,11,11,9
202,-1,4,16,10,1,3,18,14,1
203,-1,4,15,14,7,11,3,16,16
204,-1,2,12,14,11,11,9,16,15
205,-1,1,19,18,1,19,15,12,15
206,-1,19,19,2,12,3,6,15,17
207,-1,18,1,19,15,12,15,2,9
208,-1,9,9,8,18,16,3,6,12
209,-1,18,7,4,16,10,1,3,18
210,-1,1,20,9,17,17,14,1,12
211,-1,4,10,1,1,1,11,9,15
212,-1,6,10,3,12,20,15,6,20
213,-1,6,15,2,4,10,1,1,1
214,-1,16,16,3,8,17,1,16,18
215,-1,16,12,20,2,12,14,11,11
216,-1,12,10,2,12,8,13,2,16
217,-1,16,10,1,3,18,14,1,18
218,-1,16,17,16,1,1,16,16,16
219,-1,6,14,17,12,2,20,14,16
220,-1,8,8,18,1,2,4,6,12
221,-1,1,1,11,9,15,7,6,10
222,-1,17,14,1,17,12,15,12,17
223,-1,2,4,10,1,1,1,11,9
224,-1,2,12,8,13,2,16,1,10
225,-1,20,15,6,20,16,10,6,12
226,-1,12,2,1,20,9,17,17,14
227,-1,1,12,9,7,8,8,18,1
228,-1,8,10,14,8,12,16,15,19
229,-1,19,2,12,3,6,15,17,13
230,-1,19,18,1,19,15,12,15,2
231,-1,1,3,18,14,1,18,2,16
232,-1,17,3,6,16,17,3,20,6
233,-1,18,1,2,9,12,6,14,17
234,-1,12,8,13,2,16,1,10,10
235,-1,9,3,15,2,9,13,18,12
236,-1,6,8,10,14,8,12,16,15
237,-1,3,16,16,17,16,1,1,16
238,-1,13,18,7,5,3,1,16,18
239,-1,20,13,12,2,1,20,9,17
240,-1,1,1,9,5,4,16,12,5
241,-1,9,18,5,6,15,2,4,10
242,-1,20,6,8,10,14,8,12,16
243,-1,8,17,1,16,18,12,2,1
244,-1,1,19,15,12,15,2,9,6
245,-1,10,16,16,3,8,17,1,16
246,-1,1,19,8,15,6,2,15,10
247,-1,1,16,18,12,2,1,9,9
248,-1,16,8,17,3,2,15,4,17
249,-1,9,15,7,6,10,3,12,20
250,-1,15,12,15,2,9,6,17,3
251,-1,9,12,6,14,17,12,2,20
252,-1,3,8,17,1,16,18,12,2
253,-1,20,16,10,6,12,19,18,2
254,-1,12,5,12,17,14,1,17,12
255,-1,16,16,17,16,1,1,16,16
256,-1,16,18,12,2,1,9,9,8
257,-1,15,17,13,6,16,15,12,10
258,-1,9,5,4,15,14,7,11,3
259,-1,11,16,8,17,3,2,15,4
260,-1,11,9,16,15,12,10,17,9
261,-1,12,15,12,17,3,6,16,17
262,-1,15,2,4,10,1,1,1,11
263,-1,17,3,20,6,8,10,14,8
264,1,1,15,18,10,11,4,1,11
265,1,1,15,18,10,8,4,1,11
266,1,1,15,18,10,5,4,1,11
267,1,1,15,18,10,10,4,1,11
268,1,1,15,18,10,18,4,1,11
269,1,1,5,18,10,1,4,1,11
270,1,1,15,18,10,12,4,1,11
271,1,1,15,18,5,1,4,1,11
272,1,1,15,18,10,1,4,1,4
273,1,13,15,18,10,1,4,1,11
274,1,1,15,18,10,1,4,1,1
275,1,1,1,18,10,1,4,1,11
276,1,1,15,18,1,1,4,1,11
277,1,1,15,18,10,1,4,1,15
278,1,1,15,18,10,1,4,1,9
279,1,1,15,18,10,1,18,1,11
280,1,1,15,18,8,1,4,1,11
281,1,1,15,18,12,1,4,1,11
282,1,1,9,18,10,1,4,1,11
283,1,1,15,18,20,1,4,1,11
284,1,1,15,6,10,1,4,1,11
285,1,1,17,18,10,1,4,1,11
286,1,1,15,18,10,1,4,1,6
287,1,1,6,18,10,1,4,1,11
288,1,1,15,18,10,1,4,5,11
289,1,11,15,18,10,1,4,1,11
290,1,1,15,15,10,1,4,1,11
291,1,1,15,18,10,1,4,1,13
292,1,1,15,1,10,1,4,1,11
293,1,1,15,18,11,1,4,1,11
294,1,1,15,18,10,1,4,15,11
295,1,4,15,18,10,1,4,1,11
296,1,1,15,8,10,1,4,1,11
297,1,1,15,18,10,1,10,1,11
298,1,1,15,18,10,6,4,1,11
299,1,1,15,18,10,1,4,16,11
300,1,15,15,18,10,1,4,1,11
301,1,1,15,18,10,1,4,4,11
302,1,1,15,18,10,1,4,6,11
303,1,7,1,18,16,10,1,11,17
304,1,13,1,16,16,10,1,11,17
305,1,13,7,18,16,10,1,11,17
306,1,13,1,18,19,10,1,11,17
307,1,13,3,18,16,10,1,11,17
308,1,13,15,18,16,10,1,11,17
309,1,13,1,18,1,10,1,11,17
310,1,13,1,18,16,10,1,12,17
311,1,13,13,18,16,10,1,11,17
312,1,13,1,10,16,10,1,11,17
313,1,5,1,18,16,10,1,11,17
314,1,13,1,18,6,10,1,11,17
315,1,6,1,18,16,10,1,11,17
316,1,13,1,18,16,4,1,11,17
317,1,13,1,18,16,5,1,11,17
318,1,12,1,18,16,10,1,11,17
319,1,13,12,18,16,10,1,11,17
320,1,13,1,18,16,6,1,11,17
321,1,13,1,18,16,10,1,10,17
322,1,13,1,18,4,10,1,11,17
323,1,13,1,18,7,10,1,11,17
324,1,13,1,19,16,10,1,11,17
325,1,13,1,18,16,10,6,11,17
326,1,13,1,18,16,10,16,11,17
327,1,13,6,18,16,10,1,11,17
328,1,13,1,6,16,10,1,11,17
329,1,13,1,18,16,10,7,11,17
330,1,13,1,18,16,15,1,11,17
331,1,13,1,18,15,10,1,11,17
332,1,13,1,18,16,10,10,11,17
333,1,10,1,18,16,10,1,11,17
334,1,13,1,18,16,10,1,20,17
335,1,13,1,18,16,14,1,11,17
336,1,13,1,18,10,10,1,11,17
337,1,6,1,18,19,10,1,11,17
338,1,13,1,18,19,18,1,11,17
339,1,13,1,7,16,5,1,11,17
340,1,13,1,18,19,5,1,11,17
341,1,13,1,7,16,10,1,11,17
342,1,13,1,18,16,18,1,11,17
343,1,13,1,6,19,10,1,11,17
344,1,13,1,18,19,6,1,11,17
345,1,13,1,18,10,1,1,11,17
346,1,13,1,18,16,1,1,11,17
347,1,13,1,1,16,10,1,11,17
348,1,13,15,6,16,10,1,11,17
349,1,13,16,18,19,10,1,11,17
350,1,13,15,1,16,10,1,11,17
351,1,13,1,1,16,5,1,11,17
352,1,13,1,18,8,10,1,11,17
353,1,13,6,10,16,10,1,11,17
354,1,13,1,6,16,5,1,11,17
355,1,13,1,18,19,1,1,11,17
356,1,13,15,18,1,10,1,11,17
357,1,13,1,10,16,5,1,11,17
358,1,13,15,7,16,10,1,11,17
359,1,13,1,18,10,5,1,11,17
360,1,13,15,18,6,10,1,11,17
361,1,13,15,10,16,10,1,11,17
362,1,13,17,18,16,10,1,11,17
363,1,13,1,1,19,10,1,11,17
364,1,13,15,18,19,10,1,11,17
365,1,13,5,18,16,10,1,11,17
366,1,13,17,18,19,10,1,11,17
367,1,13,1,18,18,10,1,11,17
368,1,13,1,18,8,5,1,11,17
369,1,13,1,18,10,6,1,11,17
370,1,13,16,18,16,10,1,11,17
371,1,13,6,18,19,10,1,11,17
372,1,13,15,18,10,10,1,11,17
373,1,13,1,10,19,10,1,11,17
374,1,13,1,7,19,10,1,11,17
375,1,13,7,18,19,10,1,11,17
376,1,9,14,12,20,13,8,18,14
377,1,17,14,12,20,13,8,18,14
378,1,3,14,12,20,13,8,18,14
379,1,12,14,12,20,13,8,18,14
380,1,6,14,12,20,13,8,18,14
381,1,10,14,12,20,13,8,18,14
382,1,15,14,12,20,13,8,18,14
383,1,13,14,12,20,13,8,18,14
384,1,1,14,12,20,13,8,18,14
385,1,11,14,12,20,13,8,18,14
386,1,16,14,12,20,13,8,18,14
387,1,1,17,8,11,11,14,15,4
388,1,1,1,1,11,16,16,1,8
389,1,15,14,1,12,5,10,6,9
390,1,13,6,12,5,10,14,16,15
391,1,13,10,5,1,6,8,16,4
392,1,1,15,18,10,1,4,1,11
393,1,13,10,8,11,1,12,18,12
394,-1,13,20,18,6,16,6,10,20
395,-1,10,5,1,6,8,16,3,19
396,-1,18,18,1,11,13,18,18,8
397,1,16,15,16,10,20,1,16,16
398,1,16,14,12,20,13,14,18,14
399,1,1,15,12,20,13,8,1,14
400,1,16,15,12,20,13,4,18,14
401,1,16,15,18,10,1,4,1,11
402,1,16,15,18,10,1,8,1,11
403,1,16,14,12,20,13,4,1,14
404,1,1,14,18,10,1,4,1,11
405,1,1,15,18,10,1,8,1,11
406,1,16,14,12,20,13,4,18,14
407,1,1,15,12,20,13,14,1,14
408,1,16,14,12,20,13,8,1,14
409,1,16,15,12,20,13,4,1,14
410,1,1,15,12,20,13,4,1,14
411,1,16,15,12,20,13,8,1,14
412,1,1,15,18,10,1,14,1,11
413,1,16,15,12,20,13,8,18,14
414,1,17,9,18,10,18,18,14,13
415,1,13,18,8,10,13,8,14,1
416,1,13,14,18,10,13,18,11,7
417,1,16,14,1,20,13,8,18,14
418,1,16,14,2,20,13,8,18,14
419,1,16,14,12,20,13,10,18,14
420,1,16,14,12,20,13,8,5,14
421,1,16,14,17,20,13,8,18,14
422,1,16,14,5,20,13,8,18,14
423,1,16,14,12,5,13,8,18,14
424,1,16,14,12,20,13,8,10,14
425,1,16,14,10,20,13,8,18,14
426,1,16,14,12,11,13,8,18,14
427,-1,16,14,12,18,13,8,18,14
428,-1,16,14,12,8,13,8,18,14
429,-1,16,14,12,6,13,8,18,14
430,-1,16,14,12,3,13,8,18,14
431,-1,16,14,12,20,13,9,18,14
432,-1,16,14,12,9,13,8,18,14
433,-1,16,14,12,16,13,8,18,14
434,-1,16,14,12,13,13,8,18,14
435,-1,16,14,9,20,13,8,18,14
436,1,16,3,6,20,20,17,3,16
437,1,1,17,8,20,20,8,17,1
438,1,16,3,17,20,20,10,3,16
439,1,16,3,12,20,13,8,18,14
440,1,16,14,17,20,20,17,14,16
441,1,1,17,1,11,11,1,17,1
442,1,16,10,17,20,20,17,3,16
443,1,16,3,17,20,20,1,3,16
444,1,16,14,17,20,20,17,3,16
445,1,16,3,1,20,20,17,3,16
446,1,16,14,12,20,20,12,14,16
447,1,16,5,17,20,20,17,3,16
448,1,16,3,17,20,20,17,3,14
449,1,16,14,12,20,20,17,3,14
450,1,16,3,1,20,20,1,3,16
451,1,16,3,4,20,20,17,3,16
452,1,1,4,17,5,20,17,3,6
453,1,16,6,17,20,20,17,3,16
454,1,16,3,17,20,20,17,14,16
455,1,16,3,2,20,20,2,3,16
456,1,16,14,12,20,20,8,3,14
457,1,16,3,17,20,20,6,3,16
458,1,16,14,12,20,13,17,18,14
459,1,1,4,17,5,20,18,3,6
460,1,16,3,17,20,20,2,3,16
461,1,16,14,17,20,20,17,18,14
462,1,16,3,17,20,20,17,5,16
463,1,16,3,2,20,20,17,3,16
464,1,16,3,4,20,20,4,3,16
465,1,16,3,10,20,20,17,3,16
466,1,16,6,17,20,20,17,6,16
467,1,16,3,17,20,20,4,3,16
468,1,16,3,8,20,20,17,3,16
469,1,16,14,17,20,20,8,3,14
470,1,16,14,17,20,20,17,3,14
471,1,1,17,8,11,11,8,17,1
472,1,16,14,12,20,13,8,3,14
473,1,16,3,17,20,20,17,10,16
474,1,16,3,17,20,20,17,3,16
475,1,16,14,12,20,20,17,18,14
476,1,16,14,12,20,20,8,18,14
477,1,16,14,17,20,20,8,18,14
478,1,16,3,17,20,20,8,3,16
479,1,16,3,17,20,20,17,6,16
480,-1,16,14,12,13,20,8,18,14
481,-1,14,18,8,13,20,12,14,16
482,-1,16,3,6,20,20,6,3,16
483,1,6,10,1,1,13,14,5,16
484,1,9,4,10,20,13,10,17,16
485,1,16,10,12,10,13,18,1,9
486,1,15,14,18,10,5,10,4,9
487,1,1,15,10,11,1,4,1,10
488,1,17,10,12,5,13,8,16,13
489,1,13,5,1,1,1,14,14,15
490,1,1,17,8,11,11,14,15,6
491,1,15,9,8,10,5,10,3,6
492,1,13,14,12,5,10,14,16,15
493,1,16,5,12,5,13,14,8,17
494,1,13,15,12,5,13,18,1,14
495,-1,5,15,16,6,18,4,17,17
496,-1,1,4,1,11,16,14,18,17
497,-1,15,14,1,6,5,10,6,10
498,1,13,1,8,10,13,8,8,16
499,1,16,16,10,20,13,1,10,17
500,1,6,6,12,20,13,18,14,7
501,1,17,5,17,5,13,18,18,5
502,1,9,3,8,5,13,18,17,4
503,1,13,11,18,6,18,10,3,1
504,1,1,17,18,10,17,18,1,10
505,1,9,10,18,10,1,14,10,16
506,1,16,14,1,5,13,10,15,1
507,1,10,4,2,10,10,16,8,13
508,1,4,4,8,11,10,1,20,14
509,1,4,10,8,10,13,18,9,15
510,1,13,10,8,11,1,18,18,12
511,1,17,16,2,20,7,2,6,17
512,1,3,10,18,10,10,16,1,4
513,1,16,9,1,5,10,1,3,17
514,1,13,1,18,16,10,1,11,17
515,1,9,11,11,10,10,1,9,1
516,1,16,4,4,20,13,8,11,8
517,1,5,14,1,20,13,10,15,4
518,-1,17,16,10,10,17,10,3,3
519,-1,9,14,17,5,13,8,14,14
520,-1,13,1,8,10,18,7,17,13
521,-1,16,9,10,10,1,17,18,18
522,-1,10,14,18,10,17,10,12,8
523,-1,16,17,10,10,8,4,12,16
524,-1,1,16,8,10,13,18,8,13
525,1,13,6,12,10,10,14,16,15
526,1,14,6,12,5,10,14,16,15
527,1,13,15,12,5,10,14,16,15
528,1,6,14,18,12,5,10,6,9
529,1,15,15,18,12,5,10,6,9
530,1,6,14,1,12,5,10,6,9
531,1,15,14,18,12,5,10,6,9
532,1,13,6,12,5,5,14,16,15
533,1,13,6,12,5,18,14,16,15
534,1,13,6,12,20,10,14,16,15
535,1,13,6,12,5,13,14,16,15
536,1,15,15,1,12,5,10,6,9
537,1,17,9,5,10,18,18,14,13
538,1,17,9,18,5,18,18,14,13
539,1,3,9,18,10,18,18,14,13
540,1,17,9,18,10,5,18,14,13
541,1,17,9,8,10,18,18,14,13
542,1,16,14,8,20,13,8,18,14
543,1,17,9,18,10,13,18,14,13
544,1,17,18,18,10,18,18,14,13
545,1,17,9,18,10,8,18,14,13
546,1,18,9,18,10,18,18,14,13
547,1,17,9,18,10,16,18,14,13
548,1,17,9,18,11,18,18,14,13
549,1,6,9,18,10,18,18,14,13
550,1,17,9,10,10,18,18,14,13
551,1,17,9,18,20,18,18,14,13
552,1,17,3,18,10,18,18,14,13
553,1,17,5,18,10,18,18,14,13
554,1,17,9,3,10,18,18,14,13
555,1,17,9,12,10,18,18,14,13
556,1,17,1,18,10,18,18,14,13
557,1,17,10,18,10,18,18,14,13
558,1,17,9,18,10,10,18,14,13
559,1,17,16,18,10,18,18,14,13
560,1,16,14,18,20,13,8,18,14
561,1,17,9,18,1,18,18,14,13
562,1,13,9,18,10,18,18,14,13
563,1,17,9,1,10,18,18,14,13
564,1,16,9,18,10,18,18,14,13
565,1,10,9,18,10,18,18,14,13
566,1,1,9,18,10,18,18,14,13
567,1,17,6,18,10,18,18,14,13
568,1,17,9,18,6,18,18,14,13
569,-1,17,9,18,10,9,18,14,13
570,-1,17,9,18,9,18,18,14,13
571,-1,17,9,9,10,18,18,14,13
572,1,16,14,12,20,1,8,18,14
573,-1,16,14,12,20,9,8,18,14
574,-1,16,14,12,20,3,8,18,14
575,1,16,6,18,5,18,18,17,6
576,1,16,6,12,5,18,18,12,6
577,1,16,6,18,5,18,4,12,6
578,1,16,6,18,5,7,18,12,6
579,1,16,6,18,5,18,14,12,6
580,1,16,6,18,5,14,18,12,6
581,1,16,6,8,20,17,18,14,16
582,1,16,6,18,5,18,18,14,6
583,1,6,15,8,12,18,1,10,18
584,1,16,6,18,5,16,18,12,6
585,1,16,6,18,5,1,18,17,14
586,1,16,6,18,20,14,10,16,1
587,1,16,6,8,5,18,18,12,6
588,1,16,6,18,5,18,18,12,6
589,1,16,5,18,5,18,18,12,6
590,-1,9,16,15,18,12,18,18,12
591,-1,16,15,18,14,18,18,12,6
592,-1,6,1,10,17,12,1,18,10
593,-1,18,12,14,1,10,18,13,9
594,-1,11,18,12,14,1,10,18,13
595,-1,17,19,11,18,7,16,10,18
596,-1,11,18,7,16,10,18,13,9
597,-1,19,11,18,7,16,10,18,13
598,-1,6,18,5,18,12,12,6,10
599,-1,9,16,6,18,14,18,18,12
600,-1,15,18,12,18,18,12,6,9
601,-1,16,6,1,10,17,12,1,18
602,-1,18,5,18,12,12,6,10,18
603,-1,9,6,16,6,1,10,17,12
604,-1,6,10,17,11,18,17,14,10
605,-1,1,10,17,12,1,18,10,18
606,-1,6,16,6,1,11,18,12,14
607,-1,17,11,18,17,14,10,18,13
608,-1,9,6,16,6,10,17,11,18
609,-1,9,6,16,6,1,11,18,12
610,-1,16,6,1,11,18,12,14,1
611,-1,6,18,12,18,18,12,6,9
612,-1,5,18,12,12,6,10,18,9
613,-1,11,18,17,14,10,18,13,9
614,-1,16,6,18,14,18,18,12,6
615,-1,16,15,18,12,18,18,12,6
616,-1,10,17,12,1,18,10,18,13
617,-1,17,12,1,18,10,18,13,9
618,-1,9,16,6,18,12,18,18,12
619,-1,16,6,18,5,18,12,12,6
620,-1,9,16,6,18,5,18,12,12
621,-1,6,16,6,1,10,17,12,1
622,-1,16,6,17,19,11,18,7,16
623,-1,6,18,14,18,18,12,6,9
624,-1,9,16,15,18,14,18,18,12
625,-1,16,6,10,17,11,18,17,14
626,-1,6,16,6,10,17,11,18,17
627,-1,1,11,18,12,14,1,10,18
628,-1,6,1,11,18,12,14,1,10
629,-1,10,17,11,18,17,14,10,18
630,-1,6,17,19,11,18,7,16,10
631,-1,9,6,16,6,17,19,11,18
632,-1,15,18,14,18,18,12,6,9
633,-1,16,6,18,12,18,18,12,6
634,-1,6,16,6,17,19,11,18,7
635,1,12,16,18,11,8,1,10,18
636,1,16,6,11,19,5,4,1,13
637,1,6,19,18,11,17,4,1,10
638,1,6,10,17,11,18,14,4,10
639,1,16,6,12,5,1,1,5,16
640,1,6,5,1,11,1,4,1,10
641,1,16,6,18,5,18,4,11,13
642,1,16,6,18,20,7,18,16,17
643,1,16,6,8,12,5,4,16,6
644,1,6,5,8,6,18,16,20,10
645,1,16,6,18,7,5,8,16,15
646,1,16,6,18,20,10,1,17,3
647,1,16,6,8,20,20,16,18,16
648,1,16,6,1,5,11,17,15,6
649,1,16,6,8,20,10,18,4,12
650,1,16,6,8,5,10,4,17,16
651,1,16,6,12,20,10,18,17,16
652,1,16,6,18,5,20,16,15,4
653,1,6,14,3,5,13,11,20,10
654,1,16,6,18,5,17,4,4,15
655,1,16,6,10,20,20,18,17,4
656,1,16,6,12,20,5,18,14,6
657,1,6,4,11,5,5,13,18,10
658,1,16,6,12,20,5,18,4,17
659,1,6,10,12,11,13,1,10,18
660,1,16,6,17,5,14,18,14,10
661,1,16,6,8,11,5,14,16,1
662,1,16,6,8,11,5,4,16,12
663,1,16,6,10,5,17,4,20,6
664,1,16,6,18,11,5,14,17,3
665,1,16,6,18,5,18,4,17,16
666,1,6,10,18,1,5,1,12,10
667,1,16,6,12,11,10,18,20,16
668,1,16,6,12,11,18,11,5,6
669,1,16,6,16,20,18,4,20,14
670,1,16,6,18,7,18,4,20,17
671,1,16,6,18,10,5,18,16,16
672,1,6,10,18,10,14,4,6,10
673,1,16,6,18,11,13,17,11,16
674,1,16,6,1,20,10,8,14,6
675,-1,16,9,15,17,5,10,8,9
676,-1,16,20,15,15,11,5,6,6
677,-1,3,17,8,6,15,10,14,3
678,-1,10,9,9,10,7,4,4,4
679,-1,17,7,16,9,15,17,5,10
680,-1,7,4,4,4,8,14,4,10
